订单顺序号,来料顺序号,物料编号,物料名称,来料数量
10,24,6901028204835,芙蓉王(硬中支),2
11,1,6901028057110,双喜(硬细支金樽),1
11,2,6901028165365,黄金叶(硬天香细支),1
11,3,6901028212229,中华(硬细支),1
11,4,6901028339957,云烟(硬细支云龙),1
11,5,6901028201728,芙蓉王(硬细支),1
11,6,6901028111270,南京(硬炫赫门),2
11,7,6901028006415,双喜(硬祥和好日子),3
11,8,6901028191623,芙蓉王(硬闪带细支),1
11,9,6901028224079,金圣(硬滕王阁紫光),1
11,10,6901028145077,娇子(硬宽窄好运细支),1
11,11,6901028180818,黄鹤楼(硬天下名楼),2
11,12,6901028340618,云烟(硬小熊猫16支),1
11,13,6901028131605,黄山(硬大红方印),1
11,14,6901028181457,黄鹤楼(硬峡谷柔情),1
11,15,6901028045490,茶花(硬94mm),2
11,16,6901028018722,中华(硬双中支),1
11,17,6901028121736,利群(硬楼外楼中支),1
11,18,6901028223744,黄山(软记忆),1
11,19,8888075043540,建牌(硬HD1细支),1
11,20,6901028160285,黄金叶(软乐途),1
11,21,6901028121521,利群(软夜西湖),1
11,22,6901028057233,双喜(硬城市之光),1
11,23,6901028204835,芙蓉王(硬中支),1
12,1,6901028339957,云烟(硬细支云龙),1
12,1,6901028057110,双喜(硬细支金樽),1
12,2,6901028165365,黄金叶(硬天香细支),1
12,3,6901028212229,中华(硬细支),1
12,4,8888075024037,555(硬冰炫),1
12,5,6901028339957,云烟(硬细支云龙),1
12,6,6901028201728,芙蓉王(硬细支),1
12,7,6901028143554,七匹狼(硬锋芒),1
12,8,6901028111270,南京(硬炫赫门),2
12,9,6901028006415,双喜(硬祥和好日子),4
12,10,6901028191623,芙蓉王(硬闪带细支),2
12,11,6901028224079,金圣(硬滕王阁紫光),1
12,12,6901028145077,娇子(硬宽窄好运细支),1
12,13,6901028180818,黄鹤楼(硬天下名楼),1
12,14,6901028340618,云烟(硬小熊猫16支),1
12,15,6901028131605,黄山(硬大红方印),1
12,16,6901028181457,黄鹤楼(硬峡谷柔情),1
12,17,6901028196932,白沙(硬和天下),1
12,18,6901028045490,茶花(硬94mm),2
12,19,6901028018722,中华(硬双中支),1
12,20,6901028121736,利群(硬楼外楼中支),1
12,21,6901028223744,黄山(软记忆),1
12,22,8888075043540,建牌(硬HD1细支),1
12,23,6901028211802,七匹狼(硬古田金中支),1
12,24,6901028064934,芙蓉王(硬领航),1
12,25,6901028160285,黄金叶(软乐途),1
12,26,6901028063821,芙蓉王(硬75mm),1
12,27,6901028057233,双喜(硬城市之光),1
12,28,6901028204835,芙蓉王(硬中支),2
13,1,6901028057110,双喜(硬细支金樽),1
13,2,6901028165365,黄金叶(硬天香细支),1
13,3,6901028212229,中华(硬细支),2
13,4,8888075024037,555(硬冰炫),1
13,5,6901028339957,云烟(硬细支云龙),1
13,6,6901028201728,芙蓉王(硬细支),1
13,7,6901028143554,七匹狼(硬锋芒),1
13,8,6901028111270,南京(硬炫赫门),2
13,9,6901028006415,双喜(硬祥和好日子),1
13,10,6901028191623,芙蓉王(硬闪带细支),2
13,11,6901028224079,金圣(硬滕王阁紫光),1
13,12,6901028145077,娇子(硬宽窄好运细支),1
13,13,6901028180818,黄鹤楼(硬天下名楼),2
13,14,6901028340618,云烟(硬小熊猫16支),1
13,15,6901028131605,黄山(硬大红方印),1
13,16,6901028181457,黄鹤楼(硬峡谷柔情),1
13,17,6901028196932,白沙(硬和天下),1
13,18,6901028169967,黄金叶(硬天叶),1
13,19,6901028045490,茶花(硬94mm),2
13,20,6901028112789,南京(硬九五),1
13,21,6901028018722,中华(硬双中支),2
13,22,6901028102094,贵烟(硬红中支),1
13,23,6901028218184,黄鹤楼(硬感恩中支),1
13,24,6901028121736,利群(硬楼外楼中支),1
13,25,6901028223744,黄山(软记忆),1
13,26,6901028057059,双喜(硬盛世好日子)新,1
13,27,8888075043540,建牌(硬HD1细支),1
13,28,6901028211802,七匹狼(硬古田金中支),1
13,29,6901028075725,中华(硬全开式)新,1
13,30,6901028064934,芙蓉王(硬领航),1
13,31,6901028029919,娇子(硬宽窄逍遥细支),1
13,32,6901028160285,黄金叶(软乐途),1
13,33,6901028121521,利群(软夜西湖),1
13,34,6901028063821,芙蓉王(硬75mm),1
13,35,6901028057233,双喜(硬城市之光),1
13,36,6901028204835,芙蓉王(硬中支),2
14,1,6901028057110,双喜(硬细支金樽),1
14,2,8888075024037,555(硬冰炫),1
14,3,6901028339957,云烟(硬细支云龙),1
14,4,6901028201728,芙蓉王(硬细支),1
14,5,6901028143554,七匹狼(硬锋芒),1
14,6,6901028006415,双喜(硬祥和好日子),1
14,7,6901028224079,金圣(硬滕王阁紫光),1
14,8,6901028145077,娇子(硬宽窄好运细支),1
14,9,6901028180818,黄鹤楼(硬天下名楼),1
14,10,6901028131605,黄山(硬大红方印),1
14,11,6901028121736,利群(硬楼外楼中支),1
14,12,6901028223744,黄山(软记忆),1
14,13,8888075043540,建牌(硬HD1细支),1
14,14,6901028211802,七匹狼(硬古田金中支),1
14,15,6901028160285,黄金叶(软乐途),1
14,16,6901028063821,芙蓉王(硬75mm),1
15,1,6901028057110,双喜(硬细支金樽),1
15,2,8888075024037,555(硬冰炫),1
15,3,6901028339957,云烟(硬细支云龙),1
15,4,6901028201728,芙蓉王(硬细支),1
15,5,6901028143554,七匹狼(硬锋芒),1
15,6,6901028006415,双喜(硬祥和好日子),1
15,7,6901028224079,金圣(硬滕王阁紫光),1
15,8,6901028145077,娇子(硬宽窄好运细支),1
15,9,6901028180818,黄鹤楼(硬天下名楼),1
15,10,6901028131605,黄山(硬大红方印),1
15,11,6901028121736,利群(硬楼外楼中支),1
15,12,6901028223744,黄山(软记忆),1
15,13,8888075043540,建牌(硬HD1细支),1
15,14,6901028211802,七匹狼(硬古田金中支),1
15,15,6901028160285,黄金叶(软乐途),1
15,16,6901028063821,芙蓉王(硬75mm),1
16,1,6901028057110,双喜(硬细支金樽),1
16,2,6901028165365,黄金叶(硬天香细支),1
16,3,6901028212229,中华(硬细支),2
16,4,8888075024037,555(硬冰炫),1
16,5,6901028339957,云烟(硬细支云龙),1
16,6,6901028201728,芙蓉王(硬细支),1
16,7,6901028143554,七匹狼(硬锋芒),1
16,8,6901028111270,南京(硬炫赫门),2
16,9,6901028006415,双喜(硬祥和好日子),1
16,10,6901028191623,芙蓉王(硬闪带细支),2
16,11,6901028224079,金圣(硬滕王阁紫光),1
16,12,6901028145077,娇子(硬宽窄好运细支),1
16,13,6901028180818,黄鹤楼(硬天下名楼),2
16,14,6901028340618,云烟(硬小熊猫16支),1
16,15,6901028131605,黄山(硬大红方印),1
16,16,6901028181457,黄鹤楼(硬峡谷柔情),1
16,17,6901028196932,白沙(硬和天下),1
16,18,6901028169967,黄金叶(硬天叶),1
16,19,6901028045490,茶花(硬94mm),2
16,20,6901028112789,南京(硬九五),1
16,21,6901028018722,中华(硬双中支),2
16,22,6901028102094,贵烟(硬红中支),1
16,23,6901028218184,黄鹤楼(硬感恩中支),1
16,24,6901028121736,利群(硬楼外楼中支),1
16,25,6901028223744,黄山(软记忆),1
16,26,6901028057059,双喜(硬盛世好日子)新,1
16,27,8888075043540,建牌(硬HD1细支),1
16,28,6901028211802,七匹狼(硬古田金中支),1
16,29,6901028075725,中华(硬全开式)新,1
16,30,6901028064934,芙蓉王(硬领航),1
16,31,6901028029919,娇子(硬宽窄逍遥细支),1
16,32,6901028160285,黄金叶(软乐途),1
16,33,6901028121521,利群(软夜西湖),1
16,34,6901028063821,芙蓉王(硬75mm),1
16,35,6901028057233,双喜(硬城市之光),1
16,36,6901028204835,芙蓉王(硬中支),2
